CaseDate,TotalApproved
2023-01-06,1
2023-01-07,4
2023-01-09,2
2023-01-10,15
2023-01-11,20
2023-01-12,11
2023-01-13,6
2023-01-14,4
2023-01-16,4
2023-01-17,2
2023-01-20,3
2023-01-25,3
2023-01-26,4
2023-01-28,7
2023-01-29,1
2023-01-30,1
2023-02-03,5
2023-02-04,1
2023-02-06,1
2023-02-09,2
2023-02-10,1
2023-02-16,5
2023-02-18,1
2023-02-19,1
2023-02-21,1
2023-02-22,7
2023-02-25,1
2023-03-04,3
2023-03-10,1
2023-03-17,2
2023-03-19,10
2023-03-20,2
2023-03-26,2
2023-03-29,1
2023-04-08,2
2023-04-13,2
2023-04-18,1
2023-04-27,3
2023-05-07,2
2023-05-31,4
2023-06-05,1
2023-06-17,1
2023-06-19,7
2023-07-23,2
2023-08-02,1
2023-09-04,1
