CaseDate,TotalApproved
2023-01-07,2
2023-01-09,1
2023-01-10,2
2023-01-11,3
2023-01-12,5
2023-01-13,3
2023-01-15,1
2023-01-17,6
2023-01-18,2
2023-01-19,1
2023-01-20,5
2023-01-22,3
2023-01-24,1
2023-01-27,5
2023-01-28,8
2023-01-29,3
2023-02-01,2
2023-02-02,1
2023-02-08,3
2023-02-14,5
2023-02-15,6
2023-02-18,6
2023-02-24,4
2023-02-25,1
2023-03-04,1
2023-03-08,2
2023-03-18,1
2023-03-23,1
2023-04-01,1
2023-04-13,2
2023-04-17,2
2023-04-20,4
2023-04-25,1
2023-04-30,1
2023-05-18,2
2023-06-07,2
2023-07-07,3
2023-08-02,2
2023-09-14,1
2023-09-27,1
2023-10-24,1
2023-11-30,1
2023-12-01,1
