CaseDate,TotalApproved
2023-01-07,1
2023-01-10,4
2023-01-11,23
2023-01-12,5
2023-01-13,7
2023-01-14,4
2023-01-15,1
2023-01-16,2
2023-01-17,1
2023-01-18,1
2023-01-22,2
2023-01-24,1
2023-01-26,2
2023-02-02,1
2023-02-09,7
2023-02-11,5
2023-02-16,3
2023-02-21,7
2023-02-25,1
2023-02-27,7
2023-02-28,5
2023-03-06,2
2023-03-12,3
2023-03-16,2
2023-03-22,1
2023-04-02,1
2023-04-07,4
2023-04-14,1
2023-05-03,3
2023-05-28,2
2023-06-10,1
2023-06-14,1
2023-06-28,1
2023-07-05,1
2023-07-07,1
2023-07-14,1
2023-08-17,2
2023-09-15,1
