CaseDate,TotalApproved
2023-01-11,1
2023-01-13,2
2023-01-14,9
2023-01-15,83
2023-01-16,11
2023-01-17,1
2023-01-20,1
2023-01-26,2
2023-01-27,3
2023-01-29,2
2023-01-31,1
2023-02-01,2
2023-02-05,1
2023-02-08,2
2023-02-09,3
2023-02-17,1
2023-02-23,2
2023-02-24,2
2023-03-02,1
2023-03-26,1
2023-03-30,2
2023-04-18,2
2023-05-01,2
2023-05-02,2
2023-05-13,1
2023-05-24,1
2023-06-08,1
2023-07-11,1
2023-08-26,1
2023-09-03,1
2023-10-09,2
2023-11-01,1
2023-12-29,1
2024-01-04,1
2024-02-27,2
2024-03-12,1
2024-04-04,1
2024-04-28,2
