CaseDate,TotalApproved
2023-01-07,2
2023-01-09,1
2023-01-10,2
2023-01-11,2
2023-01-12,2
2023-01-13,1
2023-01-14,1
2023-01-15,64
2023-01-16,61
2023-01-17,1
2023-01-18,1
2023-01-19,2
2023-01-20,5
2023-01-22,3
2023-01-24,3
2023-01-26,1
2023-01-29,1
2023-02-07,1
2023-02-08,1
2023-02-11,3
2023-02-17,4
2023-02-20,1
2023-02-22,2
2023-02-28,1
2023-03-09,2
2023-03-13,1
2023-04-04,1
2023-04-30,1
2023-05-03,1
2023-05-22,12
2023-06-18,2
2023-07-01,1
2023-07-27,1
2023-08-19,2
2023-09-15,1
2023-10-27,1
2023-11-26,1
2023-12-02,1
2024-03-25,1
2024-04-09,1
2024-05-05,2
2023-05-11,1
