CaseDate,TotalApproved
2023-01-07,4
2023-01-08,5
2023-01-10,29
2023-01-11,7
2023-01-12,2
2023-01-13,7
2023-01-14,7
2023-01-15,3
2023-01-16,12
2023-01-17,2
2023-01-18,1
2023-01-19,8
2023-01-20,2
2023-01-21,11
2023-01-23,2
2023-01-25,4
2023-01-26,1
2023-01-27,4
2023-01-29,2
2023-01-31,2
2023-02-02,5
2023-02-03,2
2023-02-05,2
2023-02-08,3
2023-02-12,1
2023-02-13,2
2023-02-17,2
2023-02-18,3
2023-02-20,1
2023-03-01,1
2023-03-02,6
2023-03-03,2
2023-03-05,6
2023-03-07,2
2023-03-13,8
2023-03-15,1
2023-03-23,1
2023-03-30,1
2023-04-03,4
2023-04-07,2
2023-04-13,5
2023-04-25,2
2023-05-01,1
2023-05-06,2
2023-05-15,1
2023-05-24,1
2023-06-01,1
2023-06-04,3
2023-06-07,1
2023-06-13,1
2023-07-01,2
2023-07-03,3
2023-07-20,1
2023-08-10,1
