CaseDate,TotalApproved
2023-01-08,1
2023-01-09,3
2023-01-10,1
2023-01-11,1
2023-01-12,1
2023-01-13,93
2023-01-14,9
2023-01-15,5
2023-01-16,2
2023-01-17,7
2023-01-18,2
2023-01-21,2
2023-01-26,2
2023-01-27,1
2023-01-30,1
2023-01-31,1
2023-02-02,1
2023-02-04,1
2023-02-06,2
2023-02-09,3
2023-02-15,1
2023-02-16,1
2023-02-17,1
2023-02-18,1
2023-02-28,2
2023-03-07,2
2023-03-08,1
2023-04-11,5
2023-04-13,2
2023-05-01,1
2023-06-24,2
2023-07-04,2
2023-08-20,1
2023-08-28,4
2023-09-03,1
2023-10-03,2
2023-11-22,2
2023-12-20,1
2024-02-04,1
2024-03-28,1
