CaseDate,TotalApproved
2023-01-06,5
2023-01-07,1
2023-01-08,2
2023-01-09,1
2023-01-10,4
2023-01-11,152
2023-01-12,16
2023-01-13,9
2023-01-14,3
2023-01-15,10
2023-01-16,2
2023-01-17,3
2023-01-18,2
2023-01-20,2
2023-01-21,9
2023-01-22,2
2023-01-25,1
2023-01-27,8
2023-01-28,1
2023-01-31,2
2023-02-02,2
2023-02-03,3
2023-02-04,4
2023-02-05,2
2023-02-06,3
2023-02-07,7
2023-02-09,2
2023-02-10,2
2023-02-11,1
2023-02-12,3
2023-02-14,3
2023-02-15,1
2023-02-16,3
2023-02-17,3
2023-02-18,3
2023-02-20,2
2023-02-21,2
2023-02-23,1
2023-02-26,1
2023-03-01,2
2023-03-03,1
2023-03-04,1
2023-03-08,1
2023-03-11,1
2023-03-14,2
2023-03-16,1
2023-03-21,2
2023-03-22,2
2023-03-25,2
2023-04-01,4
2023-04-14,1
2023-04-19,1
2023-04-20,1
2023-04-24,1
2023-05-08,1
2023-05-12,2
2023-05-16,1
2023-05-19,3
2023-05-29,1
2023-06-02,2
2023-06-06,1
2023-06-11,1
2023-06-14,3
2023-06-16,2
2023-06-17,1
2023-06-19,2
2023-06-27,1
2023-07-02,2
2023-07-03,1
2023-07-04,1
2023-07-12,1
2023-07-18,1
2023-08-05,2
2023-08-31,1
2023-09-04,1
2023-09-17,1
2023-09-19,3
2023-10-13,1
2023-10-27,2
2023-11-01,1
2023-11-03,2
2023-11-16,1
2023-11-17,1
2023-11-18,1
2023-11-26,1
2023-11-28,1
2023-11-29,1
2023-12-15,1
2023-01-06,1
2024-01-08,2
2024-01-27,1
2024-01-30,1
