CaseDate,TotalApproved
2023-01-06,1
2023-01-08,2
2023-01-09,4
2023-01-10,4
2023-01-12,2
2023-01-14,3
2023-01-17,1
2023-01-18,5
2023-01-20,3
2023-01-21,2
2023-01-23,7
2023-01-25,1
2023-01-27,1
2023-01-30,1
2023-01-31,12
2023-02-02,1
2023-02-03,5
2023-02-05,2
2023-02-08,6
2023-02-10,1
2023-02-12,1
2023-02-14,1
2023-02-18,2
2023-02-19,1
2023-02-23,2
2023-02-25,5
2023-03-06,1
2023-03-11,2
2023-03-12,1
2023-03-16,1
2023-03-18,1
2023-03-30,4
2023-04-05,3
2023-04-14,2
2023-04-17,4
2023-04-18,1
2023-05-04,4
2023-05-08,2
2023-05-11,1
2023-05-19,1
2023-05-22,1
2023-05-27,1
2023-05-31,1
