CaseDate,TotalApproved
2023-01-09,5
2023-01-10,6
2023-01-11,2
2023-01-12,1
2023-01-13,1
2023-01-16,2
2023-01-18,1
2023-01-20,2
2023-01-25,5
2023-01-27,2
2023-01-28,2
2023-01-29,5
2023-02-01,1
2023-02-02,2
2023-02-03,2
2023-02-08,2
2023-02-09,1
2023-02-16,1
2023-02-25,4
2023-03-09,1
2023-03-12,1
2023-03-18,3
2023-03-21,1
2023-03-23,1
2023-04-06,1
2023-04-12,3
2023-04-26,2
2023-05-01,1
2023-05-02,1
2023-05-16,12
2023-06-02,1
2023-06-12,2
2023-06-24,1
2023-06-26,3
2023-07-13,1
2023-07-21,2
2023-07-31,1
2023-08-18,2
2023-08-22,1
