CaseDate,TotalApproved
2023-01-07,1
2023-01-08,2
2023-01-10,10
2023-01-11,11
2023-01-12,10
2023-01-13,13
2023-01-14,9
2023-01-15,1
2023-01-16,6
2023-01-17,2
2023-01-18,1
2023-01-19,4
2023-01-20,5
2023-01-21,2
2023-01-22,3
2023-01-24,2
2023-01-25,4
2023-01-26,1
2023-01-27,7
2023-01-28,3
2023-01-29,1
2023-01-30,1
2023-02-01,3
2023-02-02,2
2023-02-03,4
2023-02-04,6
2023-02-05,1
2023-02-08,1
2023-02-12,4
2023-02-13,1
2023-02-14,3
2023-02-15,9
2023-02-17,2
2023-02-18,1
2023-02-19,1
2023-02-20,3
2023-02-22,4
2023-02-23,2
2023-02-26,6
2023-02-27,3
2023-02-28,4
2023-03-04,2
2023-03-16,1
2023-03-20,1
2023-03-22,1
2023-03-30,1
2023-03-31,1
2023-04-02,2
2023-04-12,1
2023-05-22,1
2023-05-23,2
2023-05-25,2
2023-05-27,3
2023-05-30,2
