CaseDate,TotalApproved
2023-01-08,1
2023-01-09,16
2023-01-10,31
2023-01-11,14
2023-01-12,2
2023-01-13,2
2023-01-14,2
2023-01-16,8
2023-01-17,1
2023-01-18,6
2023-01-20,9
2023-01-21,1
2023-01-22,3
2023-01-23,7
2023-01-26,3
2023-01-30,1
2023-01-31,1
2023-02-03,1
2023-02-02,1
2023-02-06,1
2023-02-07,3
2023-02-08,6
2023-02-15,3
2023-02-23,1
2023-02-25,2
2023-03-01,6
2023-03-02,1
2023-03-03,1
2023-04-01,7
2023-04-13,2
2023-04-16,3
2023-04-17,1
2023-05-08,3
2023-05-09,1
2023-05-13,1
2023-05-16,3
2023-05-17,2
