CaseDate,TotalApproved
2023-01-11,1
2023-01-13,3
2023-01-14,21
2023-01-15,98
2023-01-16,8
2023-01-17,1
2023-01-18,3
2023-01-20,1
2023-01-23,3
2023-01-24,1
2023-01-25,1
2023-01-28,1
2023-02-06,1
2023-02-15,2
2023-02-16,1
2023-02-18,6
2023-02-23,1
2023-02-24,1
2023-02-25,2
2023-03-04,3
2023-03-06,1
2023-03-09,1
2023-03-13,1
2023-04-12,2
2023-04-21,1
2023-04-24,1
2023-05-01,2
2023-05-13,1
2023-06-02,3
2023-07-23,1
2023-07-24,1
2023-08-04,2
2023-08-25,1
2023-09-02,2
2023-10-18,1
2023-11-07,1
2023-11-11,1
2023-12-13,1
2024-01-05,1
2024-01-14,1
2024-02-25,1
2024-03-27,1
2024-04-08,1
2024-04-21,1
