CaseDate,TotalApproved
2023-01-08,1
2023-01-09,1
2023-01-10,7
2023-01-11,8
2023-01-12,2
2023-01-13,6
2023-01-14,5
2023-01-15,2
2023-01-18,1
2023-01-19,1
2023-01-20,3
2023-01-21,2
2023-01-22,2
2023-01-24,6
2023-01-27,6
2023-01-28,1
2023-01-30,7
2023-02-03,2
2023-02-04,1
2023-02-10,3
2023-02-11,2
2023-02-16,6
2023-02-17,2
2023-02-18,2
2023-02-21,3
2023-02-25,1
2023-03-01,1
2023-03-02,2
2023-03-03,2
2023-03-06,3
2023-03-21,4
2023-03-24,2
2023-03-27,4
2023-04-06,2
2023-04-19,2
2023-05-09,1
2023-05-10,1
2023-05-23,1
2023-06-07,3
2023-06-17,2
2023-06-27,2
2023-07-21,3
2023-08-07,1
2023-09-05,3
2023-10-01,1
