CaseDate,TotalApproved
2023-01-09,2
2023-01-10,1
2023-01-11,6
2023-01-13,3
2023-01-14,3
2023-01-17,1
2023-01-18,1
2023-01-19,1
2023-01-21,1
2023-01-22,4
2023-01-23,3
2023-01-25,4
2023-01-26,3
2023-01-28,2
2023-01-29,3
2023-01-30,1
2023-02-04,3
2023-02-07,4
2023-02-13,6
2023-02-22,2
2023-03-01,1
2023-03-06,16
2023-03-12,3
2023-03-15,1
2023-03-25,4
2023-03-27,1
2023-04-05,2
2023-04-07,3
2023-04-09,1
2023-04-12,2
2023-04-18,1
2023-05-09,1
2023-05-10,1
2023-05-19,2
2023-05-23,1
2023-06-01,1
2023-06-15,5
2023-06-19,1
2023-06-30,1
2023-07-01,1
2023-07-07,3
2023-08-03,1
2023-08-27,1
2023-09-06,1
