CaseDate,TotalApproved
2023-01-08,2
2023-01-09,4
2023-01-10,3
2023-01-11,1
2023-01-12,6
2023-01-13,80
2023-01-14,17
2023-01-15,3
2023-01-16,1
2023-01-19,2
2023-01-22,3
2023-01-27,2
2023-01-31,1
2023-02-01,3
2023-02-07,1
2023-02-08,1
2023-02-15,1
2023-02-25,2
2023-03-03,3
2023-03-20,1
2023-03-26,3
2023-04-03,2
2023-04-12,2
2023-04-27,1
2023-05-24,1
2023-06-15,1
2023-07-15,1
2023-08-12,1
2023-09-01,1
2023-09-12,1
2023-09-17,4
2023-10-01,2
2023-10-17,1
2023-11-22,1
2023-12-11,1
2024-01-21,1
2024-01-23,5
2024-02-23,2
2024-03-11,1
