CaseDate,TotalApproved
2023-01-07,1
2023-01-08,5
2023-01-10,6
2023-01-11,41
2023-01-12,3
2023-01-13,14
2023-01-14,12
2023-01-15,4
2023-01-16,5
2023-01-17,1
2023-01-18,4
2023-01-19,2
2023-01-20,3
2023-01-21,9
2023-01-23,1
2023-01-24,2
2023-01-27,4
2023-01-30,1
2023-02-02,1
2023-02-03,3
2023-02-04,3
2023-02-07,1
2023-02-12,1
2023-02-16,2
2023-02-17,1
2023-02-19,2
2023-02-21,4
2023-02-24,1
2023-02-26,4
2023-03-01,1
2023-03-02,4
2023-03-06,1
2023-03-09,1
2023-03-17,1
2023-03-23,1
2023-03-31,2
2023-04-04,1
2023-04-06,2
2023-04-07,2
2023-04-12,3
2023-05-03,2
2023-05-12,1
2023-05-13,2
2023-05-14,1
2023-05-21,1
2023-05-29,2
2023-06-22,2
2023-06-26,2
2023-06-30,4
2023-07-04,3
2023-07-17,8
2023-07-20,1
2023-07-22,12
2023-07-23,1
2023-07-26,3
2023-08-10,1
2023-08-18,2
2023-08-20,1
2023-09-06,2
2023-09-30,1
2023-10-06,2
2023-10-07,2
2023-11-07,1
2023-11-10,1
2023-11-27,1
