CaseDate,TotalApproved
2023-01-07,1
2023-01-10,3
2023-01-11,14
2023-01-12,7
2023-01-13,3
2023-01-14,2
2023-01-15,3
2023-01-16,5
2023-01-17,2
2023-01-18,3
2023-01-19,4
2023-01-21,1
2023-01-23,6
2023-01-24,5
2023-01-25,3
2023-01-26,3
2023-01-28,3
2023-01-31,4
2023-02-02,1
2023-02-03,2
2023-02-04,1
2023-02-08,6
2023-02-11,1
2023-02-14,1
2023-02-16,4
2023-02-22,2
2023-02-27,2
2023-03-02,4
2023-03-14,4
2023-03-15,3
2023-04-01,1
2023-04-07,3
2023-04-27,1
2023-05-12,1
2023-05-13,1
2023-05-14,1
2023-05-19,1
2023-05-29,1
2023-06-13,1
2023-07-14,2
2023-07-24,2
2023-07-30,1
2023-08-05,1
2023-08-20,1
2023-08-25,3
2023-09-08,1
2023-10-06,1
2023-12-02,1
