CaseDate,TotalApproved
2023-01-08,1
2023-01-10,2
2023-01-11,5
2023-01-12,71
2023-01-13,208
2023-01-14,26
2023-01-15,18
2023-01-16,3
2023-01-22,7
2023-01-25,2
2023-01-28,2
2023-01-30,1
2023-02-05,5
2023-02-06,2
2023-02-10,2
2023-02-11,5
2023-02-14,1
2023-02-18,1
2023-02-20,2
2023-02-21,1
2023-02-27,5
2023-02-28,2
2023-03-01,3
2023-03-02,2
2023-03-10,4
2023-03-12,1
2023-03-13,1
2023-03-14,3
2023-03-21,1
2023-03-24,1
2023-03-30,2
2023-05-01,1
2023-05-05,1
2023-05-12,1
2023-05-13,1
2023-05-15,1
2023-05-19,2
2023-05-24,1
2023-05-25,1
2023-05-26,2
2023-06-15,1
2023-08-30,1
2023-09-25,2
2023-09-29,2
2023-10-01,1
2023-10-09,1
2023-10-10,1
2023-10-23,3
2023-10-27,1
2023-11-09,1
2023-11-29,1
2023-12-07,1
2023-06-13,3
2023-06-23,1
2023-07-01,1
2023-07-17,2
2023-08-07,3
2023-01-08,2
2023-02-05,3
2023-01-22,1
2023-02-08,2
2023-03-18,1
