CaseDate,TotalApproved
2023-01-06,2
2023-01-10,3
2023-01-11,22
2023-01-12,3
2023-01-13,6
2023-01-14,8
2023-01-15,3
2023-01-16,4
2023-01-17,4
2023-01-18,2
2023-01-19,2
2023-01-20,1
2023-01-21,4
2023-01-22,2
2023-01-23,9
2023-01-24,2
2023-01-25,2
2023-01-26,3
2023-01-28,8
2023-01-29,1
2023-01-30,5
2023-01-31,9
2023-02-01,3
2023-02-04,1
2023-02-05,2
2023-02-06,9
2023-02-13,1
2023-02-14,2
2023-02-16,3
2023-02-18,1
2023-02-22,1
2023-02-24,8
2023-02-28,3
2023-03-02,1
2023-03-03,3
2023-03-12,5
2023-03-14,4
2023-03-23,2
2023-03-30,3
2023-04-22,1
2023-04-28,1
2023-05-05,3
2023-05-12,1
2023-05-14,4
2023-06-07,3
2023-06-13,2
2023-07-24,1
2023-07-30,1
2023-08-02,1
2023-08-03,1
2023-08-07,1
2023-08-08,4
2023-08-09,2
2023-08-10,3
2023-09-07,2
2023-09-19,1
2023-09-25,1
2023-10-04,1
2023-11-01,2
2023-11-02,4
2023-11-11,2
2023-11-20,2
