CaseDate,TotalApproved
2023-01-07,1
2023-01-08,1
2023-01-09,1
2023-01-10,1
2023-01-11,4
2023-01-12,4
2023-01-13,121
2023-01-14,22
2023-01-15,2
2023-01-16,3
2023-01-17,2
2023-01-18,2
2023-01-19,2
2023-01-21,6
2023-01-22,1
2023-01-23,3
2023-01-27,2
2023-01-28,2
2023-01-30,1
2023-01-31,1
2023-02-03,2
2023-02-07,1
2023-02-12,1
2023-02-22,1
2023-02-25,1
2023-03-01,2
2023-03-10,2
2023-03-26,1
2023-04-08,1
2023-04-11,1
2023-04-14,1
2023-04-17,2
2023-05-06,2
2023-05-10,1
2023-06-03,1
2023-06-11,1
2023-07-13,1
2023-08-09,1
2023-08-10,2
2023-09-13,1
2023-09-17,5
2023-10-04,3
2023-10-31,1
2023-11-05,5
2023-12-10,1
2024-01-08,1
2024-01-31,1
2024-02-01,2
2024-02-05,1
2024-02-20,1
2024-03-05,1
2024-04-01,1
