CaseDate,TotalApproved
2023-01-06,1
2023-01-08,1
2023-01-10,3
2023-01-12,1
2023-01-13,4
2023-01-14,83
2023-01-15,16
2023-01-16,2
2023-01-18,4
2023-01-19,3
2023-01-20,1
2023-01-21,1
2023-01-22,1
2023-01-23,2
2023-01-26,2
2023-01-27,4
2023-02-03,4
2023-02-04,5
2023-02-05,2
2023-02-06,1
2023-02-07,1
2023-02-08,3
2023-02-10,1
2023-02-13,2
2023-02-15,1
2023-02-16,3
2023-02-19,3
2023-02-21,1
2023-02-26,3
2023-03-05,2
2023-03-16,1
2023-03-25,2
2023-04-06,1
2023-04-07,1
2023-04-17,1
2023-05-08,2
2023-05-14,1
2023-06-06,1
2023-06-30,1
2023-07-02,1
2023-07-23,3
2023-08-11,1
2023-08-15,2
2023-09-16,2
2023-10-12,1
2023-11-29,1
2023-11-30,1
2023-12-28,1
2024-01-19,1
2024-02-07,2
2024-03-09,1
2024-04-02,2
