CaseDate,TotalApproved
2023-01-07,2
2023-01-09,1
2023-01-10,3
2023-01-11,15
2023-01-12,2
2023-01-14,3
2023-01-15,2
2023-01-16,3
2023-01-17,1
2023-01-18,1
2023-01-19,1
2023-01-20,1
2023-01-21,5
2023-01-22,1
2023-01-23,3
2023-01-24,4
2023-01-25,9
2023-01-28,2
2023-01-30,1
2023-02-03,4
2023-02-05,1
2023-02-12,3
2023-02-15,1
2023-02-16,6
2023-02-17,5
2023-02-19,2
2023-02-23,3
2023-02-24,1
2023-02-27,2
2023-03-01,4
2023-03-08,1
2023-03-21,3
2023-03-25,4
2023-04-08,3
2023-04-21,2
2023-05-09,2
2023-06-11,1
2023-07-17,1
2023-08-17,6
2023-09-08,2
2023-10-12,1
2023-10-26,1
2023-11-21,1
2023-12-15,1
2024-01-04,1
