CaseDate,TotalApproved
2023-01-09,3
2023-01-10,31
2023-01-11,4
2023-01-12,1
2023-01-13,3
2023-01-14,3
2023-01-16,1
2023-01-17,10
2023-01-19,5
2023-01-20,1
2023-01-21,10
2023-01-22,1
2023-01-25,2
2023-01-26,20
2023-01-30,1
2023-01-31,2
2023-02-01,1
2023-02-02,6
2023-02-03,9
2023-02-07,2
2023-02-11,1
2023-02-14,1
2023-02-17,5
2023-02-18,1
2023-02-23,2
2023-03-06,4
2023-03-10,1
2023-03-11,1
2023-03-16,1
2023-04-15,1
2023-04-27,1
2023-04-29,2
2023-05-02,1
2023-05-21,5
2023-06-02,1
2023-06-11,2
2023-06-14,4
2023-07-19,4
2023-07-28,1
