CaseDate,TotalApproved
2023-01-06,1
2023-01-07,3
2023-01-08,4
2023-01-09,2
2023-01-10,21
2023-01-11,15
2023-01-13,3
2023-01-15,4
2023-01-16,6
2023-01-17,2
2023-01-18,1
2023-01-19,3
2023-01-20,1
2023-01-21,2
2023-01-23,1
2023-01-25,3
2023-01-26,1
2023-01-27,2
2023-01-29,1
2023-02-01,6
2023-02-02,1
2023-02-05,1
2023-02-07,1
2023-02-08,1
2023-02-09,1
2023-02-13,1
2023-02-16,3
2023-02-20,1
2023-02-23,9
2023-02-27,2
2023-03-01,4
2023-03-07,1
2023-03-10,1
2023-04-05,1
2023-04-08,1
2023-04-16,2
2023-04-19,3
2023-04-28,1
2023-05-05,2
2023-05-19,2
2023-05-28,1
