CaseDate,TotalApproved
2023-01-06,4
2023-01-07,2
2023-01-08,3
2023-01-09,9
2023-01-10,26
2023-01-11,6
2023-01-12,9
2023-01-13,11
2023-01-14,4
2023-01-15,1
2023-01-16,8
2023-01-17,4
2023-01-18,9
2023-01-19,4
2023-01-20,4
2023-01-21,3
2023-01-22,1
2023-01-23,1
2023-01-24,7
2023-01-25,3
2023-01-26,24
2023-01-27,2
2023-01-28,1
2023-01-30,2
2023-01-31,1
2023-02-01,1
2023-02-03,6
2023-02-07,2
2023-02-14,2
2023-02-24,3
2023-02-25,4
2023-02-27,2
2023-02-28,4
2023-03-02,2
2023-03-22,1
2023-04-11,1
2023-04-16,1
2023-04-20,2
2023-05-02,1
2023-05-03,2
2023-05-16,2
2023-05-17,4
2023-06-03,1
2023-06-05,5
2023-06-06,6
2023-06-30,1
2023-07-01,1
