CaseDate,TotalApproved
2023-01-07,1
2023-01-14,1
2023-01-16,4
2023-01-17,63
2023-01-18,8
2023-01-19,2
2023-01-20,4
2023-01-21,3
2023-01-26,9
2023-01-31,1
2023-02-03,1
2023-02-08,2
2023-02-09,8
2023-02-16,2
2023-02-17,2
2023-02-18,1
2023-02-24,2
2023-03-01,1
2023-03-14,2
2023-03-22,2
2023-04-01,1
2023-04-27,1
2023-05-13,1
2023-05-22,2
2023-05-29,1
2023-06-26,1
2023-06-30,1
2023-07-09,1
2023-07-15,1
2023-07-30,2
2023-08-29,1
2023-09-16,1
2023-10-15,1
2023-11-02,1
2023-12-14,1
2024-01-20,1
2024-02-13,1
2024-03-03,2
2024-03-13,1
2024-06-28,1
