CaseDate,TotalApproved
2023-01-08,2
2023-01-10,5
2023-01-11,34
2023-01-12,4
2023-01-13,2
2023-01-14,1
2023-01-16,5
2023-01-17,2
2023-01-19,1
2023-01-22,1
2023-01-23,1
2023-01-26,1
2023-02-02,1
2023-02-05,4
2023-02-11,2
2023-02-27,1
2023-03-01,1
2023-03-07,2
2023-03-14,3
2023-03-19,4
2023-03-29,5
2023-04-11,2
2023-04-21,3
2023-05-06,1
2023-05-27,2
2023-06-02,2
2023-06-07,3
2023-06-15,1
2023-06-26,3
2023-07-18,1
2023-07-20,3
2023-07-23,5
2023-07-26,2
2023-08-16,1
2023-09-07,1
2023-09-22,1
2023-10-04,3
