CaseDate,TotalApproved
2023-01-07,3
2023-01-08,1
2023-01-09,15
2023-01-10,5
2023-01-11,1
2023-01-13,2
2023-01-14,1
2023-01-15,1
2023-01-16,3
2023-01-18,4
2023-01-19,3
2023-01-20,2
2023-01-21,3
2023-01-23,2
2023-01-24,5
2023-01-26,3
2023-01-28,2
2023-01-30,2
2023-01-31,2
2023-02-03,2
2023-02-07,1
2023-02-08,1
2023-02-09,1
2023-02-11,3
2023-02-13,2
2023-02-18,2
2023-02-23,2
2023-03-04,2
2023-03-11,5
2023-03-16,3
2023-04-09,3
2023-04-13,1
2023-04-27,1
2023-05-11,3
2023-05-23,2
2023-06-03,1
2023-06-22,3
