CaseDate,TotalApproved
2023-01-06,1
2023-01-07,1
2023-01-08,1
2023-01-10,5
2023-01-11,7
2023-01-12,9
2023-01-13,4
2023-01-14,1
2023-01-15,5
2023-01-18,6
2023-01-19,2
2023-01-20,3
2023-01-21,2
2023-01-22,4
2023-01-23,3
2023-01-24,2
2023-01-25,3
2023-01-26,4
2023-01-27,1
2023-01-28,2
2023-01-30,1
2023-01-31,1
2023-02-02,1
2023-02-03,3
2023-02-06,1
2023-02-09,1
2023-02-15,1
2023-02-16,1
2023-02-18,1
2023-02-26,1
2023-03-10,2
2023-03-15,1
2023-03-18,1
2023-03-20,1
2023-03-23,1
2023-03-28,1
2023-04-04,1
2023-04-15,1
2023-04-24,1
2023-05-16,2
2023-05-28,1
2023-06-01,2
2023-06-03,1
2023-06-05,2
