CaseDate,TotalApproved
2023-01-06,4
2023-01-09,4
2023-01-10,28
2023-01-11,4
2023-01-13,2
2023-01-15,2
2023-01-16,3
2023-01-17,9
2023-01-19,3
2023-01-21,2
2023-01-24,1
2023-01-26,5
2023-01-27,2
2023-01-29,1
2023-01-30,3
2023-01-31,4
2023-02-01,5
2023-02-09,1
2023-02-12,3
2023-02-14,1
2023-02-21,1
2023-02-27,2
2023-03-07,1
2023-03-11,2
2023-03-19,1
2023-03-22,1
2023-03-23,1
2023-03-27,1
2023-04-02,1
2023-04-06,1
2023-04-12,2
2023-04-21,3
2023-05-02,1
2023-05-05,7
2023-05-24,2
2023-05-27,1
2023-06-03,2
2023-06-08,1
2023-06-10,1
2023-06-15,8
2023-06-16,1
2023-07-03,1
2023-07-09,2
2023-07-14,1
2023-07-20,6
2023-08-02,1
2023-08-15,2
2023-08-25,1
2023-08-27,1
