CaseDate,TotalApproved
2023-01-08,3
2023-01-10,1
2023-01-12,4
2023-01-13,1
2023-01-14,101
2023-01-15,12
2023-01-16,5
2023-01-18,3
2023-01-19,1
2023-01-20,4
2023-01-21,1
2023-01-22,1
2023-01-24,3
2023-01-25,1
2023-01-26,5
2023-01-27,2
2023-01-30,1
2023-01-31,2
2023-02-03,1
2023-02-06,1
2023-02-07,2
2023-02-09,1
2023-02-12,1
2023-02-14,3
2023-02-15,3
2023-02-20,4
2023-02-23,2
2023-02-25,2
2023-03-03,1
2023-03-18,1
2023-03-19,2
2023-04-02,1
2023-04-08,3
2023-04-23,1
2023-05-06,1
2023-05-07,2
2023-06-11,2
2023-07-13,1
2023-08-03,1
2023-08-06,1
2023-09-03,1
2023-09-18,2
2023-10-17,1
2023-10-18,1
2023-10-26,1
2023-10-27,1
2023-12-05,2
2024-01-10,1
2024-02-24,1
2024-03-20,1
2024-04-12,1
