CaseDate,TotalApproved
2023-01-07,1
2023-01-08,1
2023-01-10,3
2023-01-11,15
2023-01-12,3
2023-01-13,2
2023-01-15,2
2023-01-16,2
2023-01-17,1
2023-01-18,3
2023-01-22,5
2023-01-25,4
2023-01-26,9
2023-01-27,1
2023-01-28,2
2023-01-29,3
2023-01-30,2
2023-02-01,1
2023-02-03,5
2023-02-09,1
2023-02-13,2
2023-02-16,1
2023-02-18,3
2023-02-20,3
2023-02-22,4
2023-03-04,1
2023-03-10,1
2023-03-30,2
2023-04-17,1
2023-04-23,2
2023-05-02,3
2023-05-11,3
2023-05-23,1
2023-06-01,1
2023-06-22,1
2023-07-16,1
2023-08-06,2
2023-08-14,1
2023-08-17,3
2023-09-23,7
2023-09-29,2
2023-10-01,1
2023-10-02,1
2023-10-23,1
2023-11-07,1
2023-11-12,3
2023-12-19,1
2023-01-06,1
2024-01-19,2
