CaseDate,TotalApproved
2023-01-08,2
2023-01-09,3
2023-01-10,3
2023-01-11,19
2023-01-12,5
2023-01-13,4
2023-01-14,8
2023-01-15,2
2023-01-16,6
2023-01-17,2
2023-01-18,9
2023-01-19,1
2023-01-24,3
2023-01-26,8
2023-01-30,4
2023-02-05,2
2023-02-06,2
2023-02-09,3
2023-02-10,2
2023-02-12,3
2023-02-16,6
2023-02-19,1
2023-02-25,3
2023-02-27,2
2023-02-28,1
2023-03-03,1
2023-03-09,1
2023-03-25,1
2023-03-27,1
2023-04-20,2
2023-04-26,1
2023-05-09,1
2023-05-24,2
2023-06-09,1
2023-06-14,5
2023-07-16,1
2023-07-17,1
2023-07-20,1
2023-08-10,3
2023-08-11,2
2023-08-12,1
2023-08-14,5
2023-08-18,1
2023-09-19,2
2023-10-12,1
2023-12-28,1
2024-01-08,1
