CaseDate,TotalApproved
2023-01-10,1
2023-01-11,2
2023-01-13,3
2023-01-14,89
2023-01-15,6
2023-01-16,4
2023-01-18,3
2023-01-19,2
2023-01-20,1
2023-01-22,2
2023-01-24,1
2023-01-25,3
2023-01-28,2
2023-01-29,1
2023-02-01,2
2023-02-02,1
2023-02-06,2
2023-02-15,4
2023-02-16,1
2023-02-19,1
2023-02-22,2
2023-02-26,1
2023-03-02,2
2023-03-06,1
2023-03-07,1
2023-03-26,1
2023-03-27,1
2023-04-04,1
2023-04-08,1
2023-04-15,2
2023-05-04,1
2023-05-09,1
2023-05-25,1
2023-06-01,1
2023-06-14,1
2023-06-23,1
2023-07-06,2
2023-08-05,1
2023-09-20,2
2023-10-03,1
2023-10-31,1
2023-11-05,1
2023-11-06,1
2023-12-07,1
2023-12-29,1
2024-01-12,1
2024-02-23,1
2024-03-18,1
2024-04-13,1
