CaseDate,TotalApproved
2023-01-06,3
2023-01-08,1
2023-01-10,16
2023-01-11,9
2023-01-12,12
2023-01-13,8
2023-01-14,4
2023-01-15,5
2023-01-17,2
2023-01-19,2
2023-01-20,2
2023-01-22,1
2023-01-23,1
2023-01-25,3
2023-01-27,2
2023-01-28,1
2023-01-31,2
2023-02-01,2
2023-02-07,2
2023-02-12,2
2023-02-19,3
2023-02-20,1
2023-02-22,1
2023-03-02,4
2023-03-09,1
2023-03-15,1
2023-03-19,1
2023-04-04,2
2023-04-15,1
2023-05-09,1
2023-05-16,2
2023-06-10,1
2023-06-23,5
2023-07-08,1
2023-07-22,1
2023-08-03,1
2023-08-07,1
2023-08-30,1
