CaseDate,TotalApproved
2023-01-07,2
2023-01-08,1
2023-01-09,1
2023-01-10,3
2023-01-11,2
2023-01-12,1
2023-01-13,2
2023-01-14,2
2023-01-15,2
2023-01-16,1
2023-01-17,1
2023-01-18,5
2023-01-20,2
2023-01-22,1
2023-01-25,1
2023-01-27,4
2023-01-28,1
2023-01-29,3
2023-01-31,2
2023-02-05,1
2023-02-07,2
2023-02-09,3
2023-02-10,3
2023-02-11,1
2023-02-14,3
2023-02-16,5
2023-02-17,1
2023-02-18,3
2023-02-20,1
2023-02-22,1
2023-02-24,2
2023-03-02,2
2023-03-03,2
2023-03-06,1
2023-03-10,2
2023-03-13,1
2023-03-19,6
2023-03-31,4
2023-04-01,3
2023-04-03,1
2023-04-07,2
2023-04-09,1
2023-04-23,2
2023-04-24,1
2023-05-03,3
2023-05-16,1
2023-05-20,2
2023-05-29,1
2023-06-03,1
2023-06-20,1
2023-07-03,2
