CaseDate,TotalApproved
2023-01-07,2
2023-01-08,1
2023-01-10,1
2023-01-12,2
2023-01-13,2
2023-01-14,7
2023-01-15,91
2023-01-16,12
2023-01-18,3
2023-01-19,3
2023-01-22,3
2023-01-23,1
2023-01-25,1
2023-01-27,1
2023-01-29,1
2023-01-30,3
2023-01-31,2
2023-02-03,4
2023-02-08,1
2023-02-10,1
2023-02-27,1
2023-02-28,6
2023-03-12,1
2023-03-15,1
2023-04-02,4
2023-04-18,1
2023-05-03,1
2023-06-04,2
2023-06-17,1
2023-07-15,3
2023-07-16,2
2023-08-05,1
2023-09-21,2
2023-10-09,1
2023-10-11,1
2024-01-09,1
2024-04-17,3
