CaseDate,TotalApproved
2023-01-06,7
2023-01-09,2
2023-01-10,5
2023-01-11,18
2023-01-12,9
2023-01-13,5
2023-01-14,2
2023-01-18,4
2023-01-19,1
2023-01-21,3
2023-01-22,2
2023-01-25,1
2023-01-26,2
2023-02-01,2
2023-02-02,2
2023-02-09,3
2023-02-13,1
2023-02-27,4
2023-02-28,2
2023-03-12,1
2023-03-22,5
2023-03-23,4
2023-04-10,3
2023-04-27,4
2023-05-01,1
2023-05-02,1
2023-05-10,1
2023-05-19,2
2023-06-02,1
2023-06-08,1
2023-06-09,1
2023-07-02,1
2023-07-14,2
2023-08-10,1
2023-08-17,1
2023-08-24,3
2023-09-13,2
