CaseDate,TotalApproved
2023-01-06,1
2023-01-09,4
2023-01-10,6
2023-01-11,19
2023-01-13,1
2023-01-16,4
2023-01-20,2
2023-01-25,1
2023-01-26,7
2023-01-28,3
2023-02-01,1
2023-02-04,1
2023-02-05,3
2023-02-09,3
2023-02-12,1
2023-02-14,5
2023-02-16,2
2023-02-18,1
2023-02-22,2
2023-02-23,3
2023-03-03,1
2023-03-08,2
2023-03-11,8
2023-03-13,1
2023-04-11,1
2023-04-28,3
2023-05-04,1
2023-05-13,1
2023-06-04,2
2023-06-05,1
2023-06-09,1
2023-06-10,2
2023-07-07,1
2023-07-28,1
2023-08-17,1
2023-09-23,2
2023-10-14,1
2023-11-02,3
2023-11-18,1
