CaseDate,TotalApproved
2023-01-07,2
2023-01-11,24
2023-01-12,13
2023-01-13,4
2023-01-14,8
2023-01-15,5
2023-01-16,1
2023-01-17,6
2023-01-19,3
2023-01-20,2
2023-01-21,3
2023-01-24,4
2023-01-26,8
2023-01-27,6
2023-01-30,2
2023-01-31,1
2023-02-02,7
2023-02-04,1
2023-02-06,1
2023-02-07,3
2023-02-08,4
2023-02-10,5
2023-02-12,3
2023-02-13,8
2023-02-14,4
2023-02-17,2
2023-02-18,1
2023-02-20,2
2023-02-28,6
2023-03-02,1
2023-03-05,3
2023-03-10,6
2023-03-20,7
2023-03-21,4
2023-03-23,2
2023-04-01,2
2023-04-04,1
2023-04-30,5
2023-05-15,3
2023-05-31,1
2023-06-05,2
2023-06-07,1
2023-06-17,1
2023-07-04,1
2023-07-05,1
2023-07-08,1
2023-07-19,1
2023-08-06,2
2023-08-09,2
2023-09-19,1
