CaseDate,TotalApproved
2023-01-09,3
2023-01-10,1
2023-01-11,6
2023-01-12,82
2023-01-13,12
2023-01-14,2
2023-01-15,1
2023-01-16,3
2023-01-17,1
2023-01-18,1
2023-01-20,3
2023-01-23,2
2023-01-24,2
2023-01-25,23
2023-01-26,1
2023-01-27,2
2023-02-02,1
2023-02-06,2
2023-02-08,7
2023-02-09,1
2023-02-10,1
2023-02-11,1
2023-02-12,1
2023-02-15,1
2023-02-17,1
2023-02-26,2
2023-03-03,2
2023-03-07,1
2023-03-09,1
2023-03-10,1
2023-03-20,2
2023-03-21,1
2023-03-22,1
2023-03-29,3
2023-04-06,1
2023-04-22,2
2023-04-23,1
2023-05-07,1
2023-05-15,1
2023-05-16,3
2023-05-30,1
2023-06-03,2
2023-06-15,1
2023-07-25,1
2023-08-02,2
2023-08-18,1
2023-08-28,1
2023-09-11,1
2023-09-25,1
2023-10-29,1
2023-11-08,1
2023-11-22,1
2023-12-04,4
2023-12-31,1
2023-01-12,1
2023-02-10,1
