CaseDate,TotalApproved
2023-01-06,1
2023-01-07,2
2023-01-09,1
2023-01-10,8
2023-01-11,28
2023-01-13,5
2023-01-14,4
2023-01-15,11
2023-01-16,1
2023-01-17,4
2023-01-18,6
2023-01-19,7
2023-01-20,8
2023-01-21,10
2023-01-22,3
2023-01-24,4
2023-01-25,5
2023-01-27,2
2023-01-28,3
2023-02-01,4
2023-02-02,2
2023-02-03,3
2023-02-05,7
2023-02-06,1
2023-02-09,1
2023-02-11,2
2023-02-12,7
2023-02-16,9
2023-02-19,2
2023-02-22,1
2023-02-23,1
2023-02-25,6
2023-02-26,5
2023-03-01,2
2023-03-02,1
2023-03-03,1
2023-03-10,2
2023-03-13,3
2023-03-17,7
2023-03-22,2
2023-03-28,1
2023-03-29,1
2023-03-30,3
2023-04-06,1
2023-04-11,1
2023-04-12,1
2023-04-14,2
2023-04-15,2
2023-04-26,5
2023-05-13,2
2023-05-19,1
2023-05-25,1
2023-06-11,1
2023-06-14,5
2023-06-17,2
2023-07-16,2
2023-07-21,1
2023-07-27,3
2023-08-02,1
2023-08-08,2
2023-08-10,1
2023-08-11,2
2023-09-25,1
2023-09-26,5
2023-10-06,1
2023-10-21,1
2023-11-07,3
2023-11-08,1
2023-11-10,1
2023-11-15,1
2023-11-16,1
2023-12-01,1
2023-12-27,2
