CaseDate,TotalApproved
2023-01-06,1
2023-01-09,4
2023-01-10,2
2023-01-11,1
2023-01-12,83
2023-01-13,18
2023-01-14,10
2023-01-16,3
2023-01-17,9
2023-01-19,1
2023-01-20,2
2023-01-24,3
2023-01-25,3
2023-01-26,3
2023-01-27,1
2023-01-28,2
2023-01-30,1
2023-01-31,2
2023-02-06,1
2023-02-07,2
2023-02-13,3
2023-02-15,5
2023-02-16,1
2023-02-17,1
2023-02-19,3
2023-02-20,1
2023-02-26,1
2023-03-02,1
2023-03-08,1
2023-03-10,5
2023-03-15,1
2023-03-27,2
2023-04-02,1
2023-04-07,1
2023-04-22,1
2023-05-05,3
2023-05-11,1
2023-05-18,2
2023-05-31,1
2023-06-11,2
2023-06-26,1
2023-07-05,1
2023-07-06,1
2023-07-22,1
2023-08-10,1
2023-09-10,2
2023-09-21,1
2023-10-10,1
2023-10-22,1
2023-10-26,1
2023-11-11,1
