CaseDate,TotalApproved
2023-01-09,1
2023-01-10,3
2023-01-11,8
2023-01-12,5
2023-01-13,2
2023-01-15,1
2023-01-17,2
2023-01-23,1
2023-01-24,1
2023-01-29,1
2023-01-31,1
2023-02-01,3
2023-02-06,1
2023-02-10,1
2023-02-16,2
2023-02-17,1
2023-02-19,2
2023-02-21,4
2023-02-27,1
2023-02-28,2
2023-03-06,4
2023-03-15,1
2023-03-27,1
2023-04-17,3
2023-04-26,2
2023-05-01,1
2023-05-06,2
2023-05-29,1
2023-06-16,1
2023-06-26,7
2023-07-10,6
2023-07-13,1
2023-07-30,1
2023-08-18,2
2023-09-07,1
2023-10-23,1
2023-11-04,4
