CaseDate,TotalApproved
2023-01-06,3
2023-01-09,1
2023-01-10,2
2023-01-12,68
2023-01-13,6
2023-01-14,4
2023-01-15,2
2023-01-17,2
2023-01-18,1
2023-01-21,2
2023-01-25,2
2023-01-26,2
2023-01-27,3
2023-01-31,1
2023-02-04,2
2023-02-07,4
2023-02-13,2
2023-02-16,1
2023-02-20,4
2023-02-27,3
2023-02-28,1
2023-03-03,1
2023-03-07,2
2023-03-08,1
2023-03-13,3
2023-03-15,2
2023-04-05,2
2023-04-20,1
2023-05-07,1
2023-05-08,1
2023-05-09,1
2023-06-21,1
2023-06-30,1
2023-07-12,1
2023-08-08,1
2023-10-06,2
2023-10-11,2
2023-11-05,1
2023-11-22,1
2023-01-16,1
