CaseDate,TotalApproved
2023-01-08,1
2023-01-09,1
2023-01-10,5
2023-01-11,4
2023-01-12,8
2023-01-14,2
2023-01-18,2
2023-01-19,2
2023-01-20,4
2023-01-21,1
2023-01-22,3
2023-01-23,5
2023-01-24,9
2023-01-25,5
2023-01-28,1
2023-01-30,5
2023-01-31,7
2023-02-02,2
2023-02-03,2
2023-02-06,2
2023-02-17,4
2023-02-23,1
2023-02-24,3
2023-02-27,1
2023-03-01,2
2023-03-04,1
2023-03-13,2
2023-03-24,1
2023-04-11,2
2023-04-19,2
2023-04-24,3
2023-05-01,1
2023-05-04,2
2023-06-03,1
2023-06-06,3
2023-06-27,4
2023-07-22,2
2023-08-23,1
2023-08-25,1
