CaseDate,TotalApproved
2023-01-10,5
2023-01-11,78
2023-01-12,12
2023-01-13,2
2023-01-14,1
2023-01-15,2
2023-01-16,1
2023-01-19,1
2023-01-21,1
2023-01-25,6
2023-01-26,4
2023-01-27,8
2023-01-29,2
2023-01-30,1
2023-02-03,4
2023-02-04,4
2023-02-06,1
2023-02-11,5
2023-02-14,3
2023-02-16,1
2023-02-17,2
2023-02-18,1
2023-02-19,1
2023-02-22,3
2023-02-25,3
2023-02-26,3
2023-03-02,1
2023-03-04,1
2023-03-07,2
2023-03-10,1
2023-03-14,2
2023-03-20,2
2023-03-23,1
2023-03-27,1
2023-03-30,1
2023-03-31,1
2023-04-04,1
2023-04-10,2
2023-04-14,2
2023-04-25,3
2023-05-09,2
2023-05-16,1
2023-05-27,1
2023-06-01,1
2023-06-03,3
2023-06-06,1
2023-06-18,2
2023-06-27,1
2023-07-04,2
2023-07-06,9
2023-07-18,1
2023-07-22,2
2023-07-23,1
2023-07-27,2
2023-07-30,2
2023-08-19,1
2023-09-05,1
2023-09-28,1
2023-10-06,1
2023-10-07,2
2023-10-10,1
2023-10-11,1
2023-10-20,4
2023-11-20,1
2023-12-12,4
2023-12-13,3
