CaseDate,TotalApproved
2023-01-06,2
2023-01-08,1
2023-01-10,4
2023-01-11,21
2023-01-12,6
2023-01-13,1
2023-01-14,7
2023-01-15,4
2023-01-16,1
2023-01-17,2
2023-01-18,2
2023-01-20,9
2023-01-21,3
2023-01-23,1
2023-01-24,1
2023-01-25,3
2023-01-26,1
2023-01-27,2
2023-01-28,7
2023-01-29,2
2023-01-31,2
2023-02-02,3
2023-02-03,3
2023-02-04,2
2023-02-07,2
2023-02-10,2
2023-02-12,7
2023-02-17,2
2023-02-18,5
2023-02-20,1
2023-02-22,7
2023-02-23,2
2023-02-28,2
2023-03-07,3
2023-03-11,5
2023-03-14,8
2023-03-24,5
2023-03-29,3
2023-03-31,7
2023-04-02,1
2023-04-19,1
2023-04-28,1
2023-05-02,1
2023-05-08,1
2023-05-23,2
2023-06-03,1
2023-06-19,1
2023-06-20,2
2023-06-23,1
2023-06-30,1
2023-07-24,1
2023-07-26,5
2023-07-28,4
2023-07-30,3
2023-07-31,2
2023-08-03,2
2023-08-17,1
2023-08-22,3
2023-09-12,1
2023-10-06,1
2023-10-23,1
2023-11-09,1
2023-11-10,1
2023-12-07,2
2023-12-13,2
2023-12-24,1
2023-12-31,1
2023-01-03,1
2023-01-04,1
