CaseDate,TotalApproved
2023-01-08,2
2023-01-12,1
2023-01-13,9
2023-01-14,87
2023-01-15,8
2023-01-16,2
2023-01-17,1
2023-01-18,4
2023-01-19,3
2023-01-23,3
2023-01-24,1
2023-01-30,3
2023-02-01,1
2023-02-04,1
2023-02-05,1
2023-02-08,2
2023-02-13,1
2023-02-14,1
2023-02-15,3
2023-02-16,2
2023-02-21,2
2023-02-22,1
2023-02-24,1
2023-02-26,1
2023-02-27,1
2023-03-02,1
2023-03-04,3
2023-03-12,1
2023-03-18,1
2023-03-21,1
2023-03-26,1
2023-03-27,1
2023-03-31,2
2023-04-08,1
2023-04-14,2
2023-04-20,1
2023-05-06,1
2023-05-12,3
2023-06-15,6
2023-06-25,2
2023-07-10,1
2023-07-11,3
2023-08-01,1
2023-08-04,1
2023-08-20,1
2023-09-05,2
2023-09-26,1
2023-10-28,2
2023-11-02,1
2023-11-10,1
2023-11-15,1
2023-12-09,1
2023-12-10,1
2023-12-31,2
2024-01-05,1
2024-02-05,1
2024-03-02,1
2024-03-13,1
2024-04-02,1
2024-04-11,1
