CaseDate,TotalApproved
2023-01-07,1
2023-01-10,8
2023-01-11,5
2023-01-13,13
2023-01-14,1
2023-01-15,1
2023-01-17,10
2023-01-18,5
2023-01-19,1
2023-01-20,1
2023-01-21,1
2023-01-23,2
2023-01-26,2
2023-01-27,2
2023-01-31,2
2023-02-01,3
2023-02-02,4
2023-02-03,2
2023-02-07,1
2023-02-11,4
2023-02-14,4
2023-02-15,1
2023-02-16,2
2023-02-19,1
2023-03-01,1
2023-03-04,3
2023-03-11,1
2023-03-18,2
2023-04-09,1
2023-04-14,1
2023-04-27,2
2023-05-03,1
2023-05-07,1
2023-05-14,1
2023-06-07,1
2023-06-15,1
2023-07-01,2
